"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000000000000000000000000000004&c=ruvvvvvfvtvvvv1vvvvvvfvvvvvvfvvvsu20evvvvvvvvvvvfuvg&ct=0&tl_id=4701-A&vs=INTL.4701-34-AFG-BDOLPPP.A&cy=2018&vo=0&v=H&start=1980&end=2018&s=INTL.44-1-AFRC-QBTU.A&showdm=y"
"Tue Nov 12 2019 11:03:31 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"","Netherlands","billion $2010 ppp",377.6184,375.6786,370.8596,377.3789,389.1463,399.4848,411.972,419.594,438.834,458.494,477.648,489.357,497.135,503.418,518.564,535.435,551.374,576.195,602.477,632.174,659.222,674.594,676.063,677.486,689.471,703.643,729.052,756.527,772.996,744.606,754.298,765.918,758.022,757.386,768.222,783.281,800.064,823.755,844.834
"","Netherlands Antilles","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,2.0561,2.21648,2.24972,2.29022,2.36348,2.47157,2.60624,2.64738,2.68416,2.71697,2.63237,2.58477,2.53268,2.56838,2.57865,2.62249,2.65396,2.68315,2.72704,2.7944,2.85554,2.84037,2.84271,2.86012,2.85615,2.83347,2.8012,2.80901,2.78186,2.7346,2.7127
"","New Caledonia","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","New Zealand","billion $2010 ppp",65.6538,68.7097,69.3487,71.77059,75.2105,76.425,78.4928,74.9972,75.4214,76.55091,77.35991,75.6827,76.3412,80.06209,85.40459,89.115,92.4479,95.23649,95.9626,100.2459,104.3794,106.6719,112.0903,117.2501,122.4199,125.5471,128.9977,134.1103,133.5626,133.9925,136.6871,139.2374,142.7867,145.9162,150.4909,156.5155,163.069,167.2422,172.0541
"","Nicaragua","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1526,12.1296,12.1765,12.1289,12.5335,13.2746,14.1169,14.6769,15.2216,16.2926,16.9609,17.4631,17.5947,18.0382,18.9965,19.81,20.6325,21.6799,22.4248,21.6865,22.643,24.0731,25.6371,26.9002,28.1874,29.5316,30.9075,32.41,31.0767
"","Niger","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,7.0517,7.11755,7.02614,7.20209,6.73277,6.83036,7.10388,7.28899,7.53821,7.74581,8.5531,8.50445,8.38458,8.98025,9.24958,9.7398,9.74954,10.1883,10.7792,11.1184,12.1844,12.0975,13.11,13.4087,14.9976,15.7877,16.9764,17.7128,18.5852,19.4949,20.5743
"","Nigeria","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,274.465,279.733,312.677,313.798,328.33,321.648,315.81,315.581,328.823,338.48,347.217,349.246,366.764,388.467,448.016,480.933,525.422,559.251,593.139,632.233,675,729.25,799.992,839.091,874.998,922.199,980.387,1006.39,990.122,998.101,1016.73
"","Niue","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","North Korea","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,48.3206,48.9971,46.8903,44.819,41.6441,39.7789,38.9392,37.2359,35.9876,33.6543,33.3501,35.3771,35.5229,36.8572,37.2999,37.978,38.7665,40.2245,39.8119,39.3395,40.5584,40.1898,40,40.3189,40.8463,41.2842,41.7149,41.2383,42.8336,41.3419,40.5153
"","Norway","billion $2010 ppp",139.7317,141.8792,142.2006,147.4515,156.6639,165.831,172.7061,175.656,174.7625,176.5685,179.9711,185.5401,192.1933,197.5854,207.476,216.2377,227.1551,239.1026,245.4387,250.3161,258.3669,263.6096,267.3611,270.0181,280.683,288.394,295.4488,304.0831,304.8272,300.9675,302.3009,305.6028,313.3361,316.9346,323.6651,329.5712,332.5199,340.4346,346.2862
"","Oman","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,52.9772,54.5577,59.1301,62.7003,68.0267,72.2064,74.983,78.6041,80.8796,85.8758,88.1973,88.4893,94.2868,98.5131,97.4289,94.8286,96.0539,98.4461,103.735,108.354,117.238,124.404,130.38,128.937,140.969,147.134,151.183,158.349,166.236,164.692,170.137
"","Pakistan","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,278.236,292.037,305.058,321.696,346.9,351.263,364.392,382.475,401.012,405.08,415.41,430.615,455.9,464.868,479.335,501.987,539.549,587.884,622.089,656.531,689.28,691.766,709.617,735.332,763.544,791.666,823.755,857.182,896.298,944.458,999.162
"","Palestinian Territories","billion $2010 ppp",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5.06571,5.79184,6.27144,5.73488,5.2009,4.55139,5.1893,5.72602,6.34435,6.09685,6.49871,6.89379,7.49094,8.09767,9.10287,9.67487,9.88941,9.87145,10.2099,10.6906,11.0263,11.2138
"","Panama","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,17.2591,17.5434,18.9734,20.7561,22.4478,23.6701,24.3635,24.7563,26.5949,28.3118,30.4067,31.5687,32.4505,32.6229,33.3761,34.7648,37.3906,40.0701,43.4838,48.7405,53.5441,54.2097,57.369,63.8596,70.1043,74.9438,78.741,79.3913,83.1184,87.8417,90.8367
"","Papua New Guinea","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,8.87282,8.74615,8.48413,9.29255,10.5795,12.5052,13.2483,12.8094,13.6543,12.7881,13.3868,13.6352,13.3006,13.2949,13.5617,14.1566,14.2369,14.7963,15.1356,16.2474,16.379,17.3769,19.324,19.99,20.7894,21.5453,23.1294,24.6606,25.2872,25.8435,25.9742
"","Paraguay","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,29.5919,31.5074,32.8723,33.9739,34.4889,36.2233,38.1744,40.7789,41.4207,43.178,43.2073,42.6171,41.6309,41.2837,41.2748,43.0582,44.8052,45.7612,47.961,50.5612,53.7765,53.6377,59.615,62.1481,61.8134,67.0166,70.2742,72.4129,75.5521,79.4881,82.9711
"","Peru","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,135.97,118.999,113.316,115.592,114.885,120.848,135.602,145.586,149.602,159.298,158.803,161.166,165.59,166.586,175.682,182.982,191.942,203.87,219.139,237.735,259.595,262.478,284.613,303.047,321.062,339.721,348.043,359.365,373.98,383.413,397.872
"","Philippines","billion $2010 ppp",208.6912,213.1255,220.8393,224.9791,208.5025,193.2681,199.8715,208.4892,222.5677,236.3786,243.5573,242.1488,242.9664,248.1081,258.9942,271.1117,286.9606,301.8406,300.0999,309.3485,322.9947,332.3421,344.459,361.5801,385.7975,404.2291,425.4229,453.572,472.408,477.832,514.302,533.124,568.756,608.934,646.355,685.566,732.704,781.681,830.158
"","Poland","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,NA,429.771,379.992,353.3339,362.2196,375.7608,395.6494,422.745,449.123,480.385,503.739,526.055,552.158,559.198,566.366,586.906,616.405,637.941,677.306,726.123,754.862,773.106,801.523,841.915,855.15,866.743,895.248,929.068,957.418,1004.668,1057.511
"","Portugal","billion $2010 ppp",155.0072,155.0072,155.0072,155.0072,155.0072,155.0072,158.623,167.47,171.7286,181.0573,189.6958,194.3214,198.0077,195.2861,200.1154,213.0594,220.5095,230.2695,241.3033,250.6861,260.1809,265.2366,267.2758,264.779,269.5757,271.6429,275.8615,282.7362,283.2994,274.8624,280.0813,274.9646,263.8883,260.906,263.2364,268.0327,273.1943,280.8304,286.6534
"","Puerto Rico","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,39.999,41.9736,43.5599,44.5603,46.5942,48.7597,50.8001,53.1104,54.3412,56.9938,60.1466,63.3849,65.4583,69.5918,70.2302,70.2632,72.3957,70.9573,69.9572,69.1438,67.8686,66.5435,66.2685,66.031,66.0503,65.8476,65.0638,64.3399,62.6631,60.4699,57.7487
"","Qatar","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,29.9917,31.8578,32.9457,32.3982,36.0689,35.5909,36.0959,36.9618,38.5789,50.157,55.7835,58.1735,62.844,65.2938,69.9833,72.5864,86.5369,93.0207,117.365,138.474,162.933,182.414,218.153,247.332,258.925,270.344,281.101,291.073,297.335,302.147,308.403
"","Reunion","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,7.80659,7.60987,9.50472,9.73284,10.8521,9.85263,10.0004,10.6605,10.8843,11.5047,12.0339,12.8041,13.6371,14.1149,14.8249,15.3273,16.0527,16.8038,17.4676,18.4613,18.6986,18.1065,18.1458,18.7083,18.7181,18.8575,19.4335,19.9776,20.597,21.3384,22.1447
"","Romania","billion $2010 ppp",243.2521,245.0863,254.8728,270.4156,286.4028,286.1222,292.9905,295.3463,293.9027,276.8716,261.4019,227.6851,207.5976,210.6772,218.8961,224.4503,232.7701,222.8838,217.5263,216.2691,221.3277,232.7352,244.5681,257.9821,278.7995,291.2001,314.5384,336.1277,367.8638,347.4436,334.1943,340.7857,348.0683,359.5461,372.0927,386.6101,405.0767,433.158,451.478
"","Russia","billion $2010 ppp",--,--,--,--,--,--,--,--,--,--,--,--,2465.045,2250.788,1962.666,1868.363,1801.324,1826.109,1728.919,1838.766,2023.727,2126.645,2227.503,2391.252,2562.181,2725.972,2948.525,3200.572,3369.025,3105.111,3245.134,3376.714,3499.921,3562.12,3588.559,3497.088,3491.709,3545.681,3611.877
"","Rwanda","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,6.27988,6.27758,6.12696,5.97291,6.32368,5.81091,2.89104,3.90938,4.40766,5.01811,5.46265,5.69551,6.17228,6.69597,7.5793,7.74623,8.32314,9.10368,9.94368,10.7075,11.9032,12.6514,13.576,14.6327,15.9234,16.674,17.9453,19.5367,20.7052,21.9691,23.6859
"","Saint Helena","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","Saint Kitts and Nevis","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,0.549697,0.582824,0.601006,0.61465,0.633566,0.667894,0.70399,0.728359,0.771311,0.827824,0.836297,0.869274,0.925686,0.976264,1.00147,0.965268,1.00008,1.0878,1.10751,1.10556,1.17512,1.13963,1.114,1.14072,1.13387,1.20825,1.27012,1.3321,1.37406,1.4105,1.4598
"","Saint Lucia","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,1.20963,1.2987,1.33701,1.34488,1.44301,1.4469,1.47211,1.48877,1.59349,1.58797,1.68903,1.72757,1.72131,1.65758,1.65737,1.73702,1.87811,1.84656,2.00052,1.98887,2.05823,2.07154,2.05,2.07545,2.04229,2.03347,2.04103,2.08032,2.09485,2.1213,2.1679
"","Saint Pierre and Miquelon","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","Saint Vincent/Grenadines","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,0.533806,0.550022,0.586702,0.594914,0.636179,0.647551,0.628719,0.680747,0.688726,0.710317,0.751141,0.77816,0.793767,0.806956,0.857969,0.923945,0.962347,0.986289,1.06212,1.04532,1.11501,1.09161,1.055,1.05058,1.06508,1.0846,1.09804,1.11309,1.13379,1.1451,1.1653
"","Samoa","billion $2010 ppp",0.479545,0.436096,0.431805,0.433951,0.442533,0.46828,0.490273,0.492955,0.506901,0.536404,0.502074,0.489736,0.51012,0.518702,0.551959,0.587898,0.630811,0.635638,0.642612,0.638857,0.671041,0.720926,0.761693,0.801387,0.826062,0.880775,0.899549,0.90384,0.936024,0.879165,0.862,0.909741,0.914031,0.89633,0.907058,0.922078,0.987519,1.0122,1.0271
"","Sao Tome and Principe","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,0.231484,0.238742,0.233603,0.236408,0.238063,0.240682,0.245977,0.250896,0.25466,0.257197,0.263627,0.270217,0.271429,0.279747,0.28535,0.305222,0.316919,0.339401,0.370339,0.382388,0.413691,0.423729,0.452,0.47188,0.486706,0.51014,0.543352,0.564318,0.587902,0.6107,0.6225
"","Saudi Arabia","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,592.428,589.448,679.006,780.91,812.049,800.975,805.45,807.158,828.447,837.59,861.825,829.392,876.049,865.442,841.044,935.595,1010.05,1066.35,1096.09,1116.33,1186.1,1161.68,1220.22,1342.2,1414.83,1453.02,1506.1,1567.67,1593.75,1582.32,1616.29
"","Senegal","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,16.4932,17.1493,17.0334,17.4688,17.6858,17.9159,17.9128,18.8735,19.2533,19.8548,21.0259,22.3632,23.0758,24.1329,24.2909,25.9143,27.4357,28.9783,29.6916,31.1579,32.3053,33.0881,34.471,35.0781,36.6254,37.891,39.4351,41.9814,44.8117,47.8531,50.8439
"","Serbia","billion $2010 ppp",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,80.1175,85.2767,90.0996,87.6383,88.279,90.0766,89.4627,92.0505,90.5874,92.2,95.2698,97.2046,101.322
"","Seychelles","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,0.787232,0.86822,0.932944,0.958534,1.0277,1.09126,1.08243,1.07571,1.09592,1.26117,1.40277,1.42992,1.42814,1.39625,1.41389,1.32439,1.29764,1.41451,1.54753,1.70877,1.6722,1.65368,1.752,1.84624,1.91417,2.02936,2.12131,2.22684,2.25957,2.3711,2.4796
"","Sierra Leone","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,6.64872,6.87437,7.12474,6.5553,5.92295,5.92617,6.13358,5.51869,4.15079,3.42042,3.39178,3.11631,3.23495,3.82274,4.83254,5.28235,5.63001,5.88364,6.13216,6.62631,6.98412,7.20668,7.592,8.07121,9.29627,11.2226,11.7348,9.31742,9.88578,10.247,10.6265
"","Singapore","billion $2010 ppp",48.732,53.9385,57.8073,62.7443,68.2661,67.797,68.6972,76.0868,84.5441,93.15341,102.5099,109.3648,117.1162,130.6283,144.9,155.0836,166.7644,180.5911,176.5725,187.3349,204.0032,202.0605,210.5707,219.9101,240.9097,258.9518,281.8954,307.5804,313.0788,311.1898,358.6162,381.9844,398.2979,418.024,435.229,446.131,458.821,470.232,485.378
"","Slovakia","billion $2010 ppp",--,--,--,--,--,--,--,--,--,--,--,--,--,60.4347,64.1851,68.9632,73.6232,78.0902,81.2233,81.0565,82.0375,84.7584,88.5915,93.3923,98.3036,104.9401,113.8105,126.1014,133.2007,125.978,132.3294,136.0597,138.3146,140.3765,144.2372,150.2589,154.9549,159.8956,166.6746
"","Slovenia","billion $2010 ppp",--,--,--,--,--,--,--,--,--,--,--,--,29.9167,30.7674,32.406,36.0333,37.2117,39.1288,40.3286,42.3997,44.3168,45.7806,47.472,48.7505,50.5621,52.8558,56.0249,59.9756,61.6788,56.7911,57.413,57.9528,56.4815,55.8995,57.4424,58.6084,60.4704,63.6479,66.6341
"","Solomon Islands","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,0.38948,0.416191,0.444166,0.455496,0.507255,0.515845,0.557524,0.613232,0.623098,0.61234,0.631895,0.622093,0.533672,0.491161,0.477625,0.508598,0.549779,0.620421,0.645234,0.752127,0.779991,0.78181,0.865,0.920427,0.944715,0.97325,0.992514,1.01052,1.04329,1.0738,1.0976
"","Somalia","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,5.96149,5.95101,5.8558,5.79724,5.10157,5.10157,4.03026,4.03026,4.18743,4.07427,4.17598,4.30961,4.4389,4.57207,4.73209,4.89771,5.04464,5.19598,5.32069,5.45902,5.60096,5.74658,5.896,6.04929,6.20657,6.36794,6.53351,6.70338,6.87767,7.0015,7.1835
"","South Africa","billion $2010 ppp",307.1341,323.599,322.3583,316.406,332.5397,328.511,328.5697,335.4719,349.5622,357.9334,356.796,353.1629,345.6159,350.0056,361.2057,372.403,388.4164,398.5152,400.507,410.12,427.345,438.883,455.122,468.545,489.886,515.737,544.639,573.833,592.144,583.037,600.761,620.49,634.222,649.985,661.99,669.892,672.566,683.129,688.002
"","South Korea","billion $2010 ppp",189.8799,203.5143,220.335,249.5117,275.5678,296.9235,330.2505,371.4237,415.64,444.859,488.504,539.084,572.375,611.565,667.866,731.785,787.361,833.99,788.361,877.513,955.827,999.08,1073.336,1104.819,1158.954,1204.427,1266.771,1335.979,1373.776,1383.496,1473.379,1527.625,1562.643,1607.902,1661.629,1707.991,1758.024,1811.868,1860.576
"","Spain","billion $2010 ppp",682.751,681.834,690.336,702.553,715.089,731.692,755.497,797.416,838.028,878.476,911.719,934.909,943.608,933.882,956.121,986.805,1013.155,1050.577,1095.804,1144.936,1205.517,1253.71,1289.818,1330.956,1373.068,1424.189,1483.643,1539.57,1556.76,1501.137,1501.36,1486.383,1442.844,1418.223,1437.777,1490.249,1537.468,1583.334,1623.382
"","Sri Lanka","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,52.7871,53.7454,57.2806,63.3835,61.3347,65.942,71.3022,75.6445,84.8529,93.6943,91.9189,94.6502,102.559,100.557,104.403,110.673,116.625,123.959,133.305,142.394,150.969,156.268,168.799,182.986,199.719,206.501,216.745,227.599,237.77,245.637,255.273
"","Sudan","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,50.2655,54.7549,51.7598,55.6474,59.3078,62.0175,62.6415,66.3981,70.3283,77.7598,81.11,83.6277,88.9347,94.7157,100.803,108.6,112.817,121.267,133.472,148.85,160.464,165.666,171.413,168.04,168.917,176.34,181.065,189.948,198.875,207.394,209.044
"","Suriname","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,4.16018,4.34844,4.17791,4.29253,4.30867,4.0199,4.15617,4.15653,4.19965,4.44068,4.54417,4.48038,4.57289,4.76437,4.89668,5.20434,5.62065,5.84117,6.17787,6.49287,6.76229,6.96625,7.326,7.75435,7.96348,8.19688,8.2177,8.00412,7.59277,7.7372,7.8939
"","Swaziland","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,3.32094,3.74972,4.53783,4.61771,4.76669,4.91475,5.03274,5.2756,5.47829,5.64827,5.79536,5.96637,6.07139,6.13543,6.40417,6.65266,6.89375,7.30729,7.74515,8.08868,8.15514,8.28277,8.597,8.79019,9.20491,9.79596,9.98512,10.0242,10.3472,10.3647,10.3786
"","Sweden","billion $2010 ppp",208.7524,211.111,213.7675,218.1307,227.821,233.1646,240.0918,247.7536,253.2994,259.8048,262.1284,259.4902,256.8387,249.5379,259.324,270.3068,274.4779,283.057,294.7898,307.2672,322.3016,327.8573,334.6938,343.0389,356.0794,366.0887,384.2034,397.7786,394.9242,374.6679,396.0337,406.915,407.014,411.974,423.125,440.949,451.782,462.455,472.825
"","Switzerland","billion $2010 ppp",246.3555,250.3005,247.023,248.6016,256.0807,265.4881,270.4226,274.71,283.7138,296.0009,306.8779,304.0676,303.9345,303.5515,307.4059,308.8842,310.5522,317.8195,327.3221,332.8693,345.9737,350.5144,351.0844,351.2234,360.9741,372.2193,387.0658,402.9812,411.664,402.517,414.603,421.622,425.863,433.75,444.374,450.298,457.51,464.905,477.003
"","Syria","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,54.7329,45.4162,47.4995,51.2526,58.1564,61.1684,65.5804,70.1884,77.0849,80.9576,86.4508,83.3786,83.942,87.1262,93.973,94.5283,101.053,107.334,112.75,119.148,124.482,131.842,136.377,127.785,99.1614,74.5694,74.8676,70.8996,68.489,65.0646,65.0606
"","Taiwan","billion $2010 ppp",141.0829,151.1105,158.3603,172.6817,190.0332,199.1683,222.1037,250.3165,270.388,294.0451,310.6456,336.6136,364.5297,389.3255,418.5017,445.71,473.234,502.164,523.31,558.461,594.317,586.828,619.542,645.07,687.039,724.247,764.976,814.828,820.566,807.71,893.578,927.575,946.718,967.569,1006.476,1014.591,1029.931,1061.643,1089.199
"","Tajikistan","billion $2010 ppp",--,--,--,--,--,--,--,--,--,--,--,--,12.5897,10.525,8.28318,7.25607,6.03979,6.1416,6.46621,6.70526,7.26162,7.95535,8.81673,9.79628,10.8022,11.528,12.2882,13.2242,14.2265,14.7988,15.766,16.1461,17.3645,18.6545,19.9016,21.0895,22.5447,24.1454,25.7149
"","Tanzania","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,32.146,33.3562,35.7061,36.446,36.6589,37.1009,37.6825,39.0278,40.8013,42.2397,43.8062,45.9266,48.1925,51.083,54.7424,58.5121,63.0926,68.2493,71.4301,77.4762,81.789,86.1912,91.672,98.9182,104.004,111.558,119.328,127.632,136.526,146.225,156.019
"","Thailand","billion $2010 ppp",173.0561,183.2755,193.0873,203.8702,215.5907,225.6178,238.1274,260.812,295.4498,331.4603,368.4518,399.989,432.326,468.006,505.432,546.475,577.363,561.466,518.604,542.317,566.48,585.991,622.023,666.742,708.676,738.354,775.035,817.159,831.26,825.518,887.544,894.998,959.823,985.617,995.319,1026.511,1060.967,1100.478,1146.838
"","The Bahamas","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,7.40922,7.90767,7.78144,7.45604,7.1708,7.19287,7.41938,7.74425,8.07133,8.23778,8.62631,9.24259,9.62608,9.87883,10.146,10.0177,10.1061,10.4493,10.7123,10.8672,10.6147,10.1715,10.328,10.3913,10.7121,10.6681,10.6523,10.7636,10.5818,10.7338,10.9774
"","Timor-Leste","billion $2010 ppp",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.19711,2.77816,4.24108,6.80771,6.78026,7.59781,7.09348,7,7.83351,8.20796,7.30929,5.40562,6.53464,6.86137,6.4996,6.7407
"","Togo","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,5.19237,5.40526,5.72402,5.73698,5.54884,4.6428,5.28975,5.64791,6.0807,6.3123,6.16753,6.32921,6.26824,6.31985,6.56169,7.00265,6.93412,6.61055,6.78573,6.706,6.97839,7.36487,7.814,8.31403,8.85806,9.3995,9.956,10.5278,11.0541,11.5793,12.1606
"","Tonga","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,0.308613,0.309816,0.303483,0.322952,0.323765,0.335868,0.352502,0.366738,0.366587,0.363666,0.37455,0.390589,0.402852,0.415567,0.430448,0.439513,0.437981,0.444905,0.44129,0.422908,0.43602,0.446069,0.462,0.474867,0.479095,0.464145,0.473765,0.491316,0.507894,0.5221,0.5205
"","Trinidad and Tobago","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,14.8506,14.7283,14.9498,15.351,15.098,14.8794,15.4094,16.0191,17.1473,18.4663,19.9725,21.5661,23.0548,24.017,25.9216,29.665,32.0234,34.0119,38.6084,40.3346,41.7027,39.8712,41.196,41.0751,41.6063,42.5468,42.1148,42.1897,41.2327,39.9413,40.6852
"","Tunisia","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,41.2264,41.9465,45.2811,47.0492,50.7217,51.8324,53.4799,54.7375,58.6491,61.8402,64.7985,68.7218,71.9585,74.6902,75.678,79.2367,84.1777,87.1126,91.681,97.8324,101.978,105.082,108.771,106.686,110.951,114.141,117.533,118.888,120.206,122.556,125.694
"","Turkey","billion $2010 ppp",363.1446,380.7766,394.3427,413.9387,441.7201,460.4556,492.7586,539.494,552.014,553.615,604.914,609.272,639.952,688.915,656.757,708.499,760.783,818.432,817.851,790.132,842.596,792.359,843.31,890.604,976.498,1064.478,1140.161,1197.515,1207.637,1150.824,1248.499,1387.251,1453.699,1577.138,1658.623,1759.565,1815.585,1950.688,2006.302
"","Turkmenistan","billion $2010 ppp",--,--,--,--,--,--,--,--,--,--,--,--,24.3408,24.7059,20.4319,18.9607,20.2311,17.9248,19.1974,22.365,23.5882,24.6128,24.6761,25.4827,26.757,30.2462,33.5633,37.2752,42.7546,45.3626,49.536,56.8178,63.1246,69.5633,76.7283,81.7156,86.782,92.3517,98.0279
"","Turks and Caicos Islands","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","Tuvalu","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","U.S. Pacific Islands","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"","U.S. Virgin Islands","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,1.15718,1.15118,1.14521,1.13928,1.1324,1.2547,1.13956,1.10884,1.11996,1.05871,1.11205,1.09546,1.27882,1.31962,2.19978,2.12977,2.14438,2.15041,2.23629,2.33327,2.35524,2.19882,2.2187,2.03768,1.73164,1.63119,1.6155,1.61864,1.63433,1.6087,1.6163
"","Uganda","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,13.1734,14.0115,14.9187,15.7472,16.2856,17.6415,18.7712,20.9343,22.8335,23.998,25.1751,27.2027,28.0574,29.5118,32.089,34.1662,36.492,38.8028,42.9876,46.6039,50.6626,54.1553,58.58,62.0196,64.0252,67.0458,70.0949,74.0869,75.9986,79.8832,84.5716
"","Ukraine","billion $2010 ppp",--,--,--,--,--,--,--,--,--,--,--,--,441.204,378.553,291.865,256.257,230.631,223.712,219.462,219.023,231.945,252.356,265.603,290.878,326.1,335.874,360.863,388.265,397.211,338.588,351.571,370.786,371.671,371.572,347.224,313.29,320.937,329.04,338.684
"","United Arab Emirates","billion $2010 ppp",194.356,199.961,183.327,178.549,186.512,181.911,143.335,148.466,148.112,170.763,200.669,202.262,207.746,212.317,226.958,242.137,256.177,277.159,277.968,286.035,317.078,321.514,329.338,358.322,392.6,411.662,452.158,466.556,481.448,456.206,463.667,495.8,518.035,544.213,568.152,596.927,614.766,619.625,636.215
"","United Kingdom","billion $2010 ppp",1133.743,1125,1147.617,1196.067,1223.294,1274.617,1314.647,1384.333,1464.047,1501.655,1512.757,1496.298,1501.85,1539.792,1599.766,1639.046,1680.599,1752.75,1811.314,1869.526,1934.089,1989.031,2038.752,2106.835,2156.3,2224.196,2280.87,2338.93,2330.839,2231.859,2270.051,2307.387,2340.776,2388.676,2459.083,2516.849,2561.884,2608.585,2645.262
"","United States","billion $2010 ppp",6496.27,6661.13,6541.06,6840.88,7335.97,7641.8,7906.42,8179.95,8521.62,8834.61,9001.24,8991.49,9308.19,9564.42,9949.8,10200,10600,11100,11600,12100,12600,12700,13000,13300,13800,14300,14700,15000,15000,14600,15000,15200,15600,15900,16200,16700,17000,17348.63,17851.86
