"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=000000000000000000000000000000000000000000000000000000004&c=ruvvvvvfvtvvvv1vvvvvvfvvvvvvfvvvsu20evvvvvvvvvvvfuvg&ct=0&tl_id=4701-A&vs=INTL.4701-34-AFG-BDOLPPP.A&cy=2018&vo=0&v=H&start=1980&end=2018&s=INTL.44-1-AFRC-QBTU.A&showdm=y"
"Tue Nov 12 2019 11:03:31 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"","Bahrain","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,16.2837,16.3189,17.0634,18.9552,20.2447,22.8728,22.8127,23.6644,24.6335,25.418,26.6472,27.7799,29.258,29.9868,30.9909,32.9422,35.2419,37.6275,40.0608,43.3835,46.0914,47.2623,49.312,50.2901,52.165,54.9907,57.383,59.0337,61.0762,63.3658,64.6606
"","Bangladesh","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,132.492,135.891,144.93,149.767,157.316,164.504,171.233,179.662,187.97,196.41,206.578,216.225,227.671,239.23,248.4,260.174,273.805,291.701,311.163,333.127,353.16,370.978,391.648,416.966,444.158,470.868,499.407,532.132,569.985,611.505,659.591
"","Barbados","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,3.73536,3.86984,3.74213,3.59619,3.34446,3.38459,3.5132,3.58347,3.72681,3.90197,4.04634,4.06252,4.15596,4.04791,4.07624,4.15777,4.21598,4.38461,4.63454,4.71796,4.73683,4.54736,4.561,4.59749,4.61128,4.60667,4.61128,4.65278,4.73187,4.7783,4.7653
"","Belarus","billion $2010 ppp",--,--,--,--,--,--,--,--,--,--,--,--,8.41521,7.80667,60.7058,54.385,55.9085,62.2817,67.5141,69.8099,73.8589,77.3489,81.2513,86.974,96.9322,106.083,116.69,126.78,139.773,140.001,150.919,159.037,161.72,163.343,166.162,159.799,155.762,159.706,164.525
"","Belgium","billion $2010 ppp",240.0815,240.4326,241.8283,242.7892,247.8931,252.4725,257.1516,263.2546,275.2738,285.2333,294.0468,299.3416,303.3275,301.2266,311.1419,321.1396,326.2434,338.3487,345.0361,357.3275,370.3368,373.3198,379.9634,382.906,396.8209,405.15,415.307,429.612,432.969,423.225,434.839,442.661,443.699,444.592,450.167,457.893,464.71,472.58,479.333
"","Belize","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,0.732249,0.845555,0.939569,1.04769,1.17387,1.24742,1.25025,1.25707,1.27548,1.32089,1.37026,1.49009,1.68522,1.76987,1.85906,2.0337,2.12797,2.18196,2.28334,2.3082,2.38234,2.40123,2.481,2.53387,2.62894,2.6461,2.75499,2.83381,2.81235,2.8467,2.9338
"","Benin","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,6.7381,6.54578,7.13334,7.43478,7.65468,8.10143,8.26511,8.76475,9.14376,9.66813,10.0511,10.588,11.2084,11.8059,12.3542,12.7797,13.3458,13.5742,14.11,14.9546,15.6859,16.0513,16.39,16.8756,17.6884,18.9602,20.1645,20.5871,21.4033,22.5985,24.301
"","Bermuda","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,3.95695,3.96189,3.85706,3.86714,3.76173,3.85287,3.91376,4.12495,4.28477,4.48212,4.65736,4.81524,4.95891,5.317,5.23843,5.4171,5.54482,5.63767,5.89734,6.09314,6.16255,5.79609,5.65239,5.40224,5.18427,5.08144,5.06758,5.09831,5.09204,5.1306,5.234
"","Bhutan","billion $2010 ppp",0.434407,0.494823,0.511715,0.569594,0.595125,0.620189,0.692941,0.89179,0.936266,1.00585,1.11526,1.11071,1.16181,1.18489,1.24356,1.33153,1.40563,1.48117,1.56876,1.69401,1.81146,1.96007,2.17034,2.33668,2.47446,2.65071,2.83226,3.33997,3.49923,3.73218,4.17,4.49905,4.72723,4.82851,5.10593,5.44279,5.87771,6.2785,6.6283
"","Bolivia","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,22.9256,23.7945,24.8976,26.2088,26.6404,27.7777,29.0742,30.4344,31.7617,33.3352,35.0118,35.1612,36.043,36.6499,37.5609,38.5793,40.1893,41.9662,43.9794,45.9868,48.8142,50.4529,52.535,55.269,58.1,62.0485,65.4367,68.5895,71.5314,74.5148,77.8515
"","Bosnia and Herzegovina","billion $2010 ppp",--,--,--,--,--,--,--,--,--,--,--,--,6.64025,6.4954,7.21847,8.71991,13.446,18.3728,21.4257,23.5683,24.8645,25.4613,26.7598,27.8035,29.5551,30.7077,32.5502,34.5683,36.5387,35.2306,35.129,35.7466,35.8589,36.5415,36.7907,38.2978,39.5605,40.9255,42.2713
"","Botswana","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,8.83641,9.99038,10.667,11.4626,11.797,12.0231,12.4592,13.2621,13.9949,15.0676,15.1158,16.5518,16.798,16.7894,17.8449,19.1944,19.7138,20.6121,22.3361,24.1848,25.6952,23.729,25.761,27.3191,28.5365,31.7735,33.0919,32.53,33.9338,34.7347,36.2982
"","Brazil","billion $2010 ppp",1287.507,1231.01,1238.166,1196.025,1260.24,1360.277,1474.65,1523.742,1519.923,1569.071,1510.751,1526.519,1518.043,1592.577,1685.562,1756.891,1795.894,1856.902,1863.315,1872.012,1954.103,1981.114,2041.595,2064.831,2183.729,2253.389,2342.551,2484.596,2611.136,2608.105,2804.876,2916.66,2972.88,3062.349,3077.81,2968.532,2870.234,2902.969,2938.188
"","British Virgin Islands","billion $2010 ppp",NA,NA,NA,NA,NA,NA,NA,NA,0.145025,0.157552,0.198321,0.249116,0.300473,0.390567,0.494664,0.613703,0.661624,0.731188,0.806935,0.884227,0.964524,1.01196,0.952454,0.859345,0.869094,1.00352,0.991346,0.982035,0.973432,0.955731,0.954695,0.948146,0.905092,0.953953,0.966053,0.968626,0.971932,0.9416,0.971
