International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=g0q0000g0000100001004&c=ruvvvvvfvtvvvv1vvvvvvfvvvvvvfvvvsu20evvvvvvvvvvvfuvg&ct=0&tl_id=3002-A&vs=INTL.3-1-AFG-BCF.A&cy=2011&vo=0&v=H&start=1980&s=INTL.44-1-AFRC-QBTU.A&showdm=y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Nov 12 2019 10:54:34 GMT-0600 (Central Standard Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Belarus,bcf,--,--,--,--,--,--,--,--,--,--,--,--,10.24,10.24,10.24,10.59,10.59,7.063,7.7693,7.41615,7.098315,7.063,6.70985,5.6504,6.3567,6.07418,6.00355,5.6504,5.36788,5.29725,7.663355,7.7693,7.41615,8.05182,7.7693,8.440285,NA,NA,-,-
,Belgium,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,0.318,0.212,0.1413,0.04,0,0.07063,0,0,0,0.07063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Belize,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Benin,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Bermuda,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Bhutan,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Bolivia,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,192,206,197.41,209.06,188.94,186.4632,188.93525,189.64155,175.8687,197.764,252.50225,313.5972,360.9193,446.73475,518.77735,517.36475,536.788,541.0258,473.57415,526.1935,580.93175,658.9779,751.15005,767.39495,741.615,NA,NA,-,-
,Bosnia and Herzegovina,bcf,--,--,--,--,--,--,--,--,--,--,--,--,0.812,0,0,31.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Botswana,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-,-
,Brazil,bcf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252,232.82,246.3424235,260,274.04,280.75,323.4854,348.2059,381.04885,420.2485,469.33635,494.41,548.44195,557.62385,599.29555,625.0755,625.42865,640.96725,762.45085,746.241265,809.77295,850.03205,912.04519,994.788235,1126.301295,1238.1439,1338.089885,1416.733328,-,-
