International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=g0q0000g0000100001004&c=ruvvvvvfvtvvvv1vvvvvvfvvvvvvfvvvsu20evvvvvvvvvvvfuvg&ct=0&tl_id=3002-A&vs=INTL.3-1-AFG-BCF.A&cy=2011&vo=0&v=H&start=1980&s=INTL.44-1-AFRC-QBTU.A&showdm=y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Nov 12 2019 10:54:34 GMT-0600 (Central Standard Time),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,Uganda,bcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Ukraine,bcf,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,United Arab Emirates,bcf,269,152,181,216,236,224,175,82,89,57,42,18,29.6646,17.97,13.77,12.71,13.77285,53.6788,52.9725,50.8536,45.55635,24.36735,16.59805,34.25555,32.4898,30.72405,33.54925,31.43035,34.6087,34.96185,34.25555,34.67933,36.0213,36.056615,35.915355,36.79823,-,-,-,-
,United Kingdom,bcf,0,149,0,134,118,92,77,75,79,84,0,85,0,85.815,112.65,80.87,85.81545,71.68945,70.63,74.1615,61.4481,63.21385,57.9166,52.61935,56.15085,57.56345,54.3851,24.7205,24.7205,24.7205,45.9095,41.000715,37.327955,38.811185,37.99894,42.16611,-,-,-,-
,United States,bcf,125.451,98.017,93.365,94.962,107.913,94.778,97.633,123.707,142.525,141.642,150.415,169.909,167.519,226.743,228.336,283.739,272.117,256.351,103.019,110.285,91.232,96.913,99.178,98.113,96.408,119.097,129.469,143.457,166.909,165.36,165.928,209.439,212.848,260.394,293.916,289.545,209.404,235.57,-,-
,Uruguay,bcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Uzbekistan,bcf,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.252,28.252,24.7205,24.7205,-,-,-,-
,Vanuatu,bcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Venezuela,bcf,79,68,63,61,60,49,90,130,127,92,121.8,121.79,123.39061,117,109.48,126.08,223.8971,229.5475,155.386,130.6655,158.9175,117.2458,153.2671,109.4765,130.6655,249.924255,113.008,253.70296,323.944495,309.112195,235.9042,327.86446,400.719305,484.698375,540.990485,584.1101,-,-,-,-
,Vietnam,bcf,0,0,0,0,0,0,0,0,0,0,0,0,0,27.54,27.55,9.89,11.3008,9.53505,14.126,12.36025,14.126,12.36025,12.36025,10.5945,10.5945,12.36025,28.252,21.189,21.189,21.189,29.31145,19.42325,22.95475,22.95475,21.189,21.189,-,-,-,-
,Wake Island,bcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Western Sahara,bcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Yemen,bcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.189,15.89175,26.48625,17.6575,8.82875,10.5945,10.5945,28.252,28.252,-,-,-,-
,Zambia,bcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Zimbabwe,bcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Reinjected Natural Gas,bcf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Albania,bcf,-,-,-,-,-,-,-,-,-,-,4,6,0,2.119,1.41,0.71,0.7063,0.7063,0.7063,0.7063,0.7063,0.7063,0.7063,0.7063,0.7063,0.7063,0.7063,0.7063,0.7063,0.7063,0.7063,0.35315,0,0,0,0,-,-,-,-
,Algeria,bcf,-,-,-,-,-,-,-,-,-,-,2235,2135,2148,2399.3,2472.4,2377.41,2283.4679,2371.0491,2258.7474,2055.333,2381.99675,2551.50875,2533.14495,2467.1059,2741.1503,3056.972345,3181.8815,3285.884175,3281.39917,3355.172205,3145.8602,3134.029675,2732.498125,2692.450915,2867.93115,2721.16201,-,-,-,-
,American Samoa,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Angola,bcf,-,-,-,-,-,-,-,-,-,-,28,16,0,30.72405,28.25,26.48625,42.02485,53.32565,61.80125,80.87135,80.5182,78.3993,116.5395,12.36025,28.252,42.378,73.10205,88.2875,81.2245,80.87135,83.449345,91.783685,92.772505,91.1127,89.382265,90.229825,-,-,-,-
,Antarctica,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Antigua and Barbuda,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Argentina,bcf,-,-,-,-,-,-,-,-,-,-,26,32,23.66,38.847,42.38,45.91,73.10205,157.15175,150.08875,105.59185,90.75955,111.94855,124.3088,94.6442,59.3292,45.2032,31.7835,26.8394,30.01775,38.98776,47.3221,38.49335,23.3079,9.1819,2.47205,3.5315,-,-,-,-
,Armenia,bcf,-,-,-,-,-,-,-,-,-,-,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Aruba,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Australia,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Austria,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Azerbaijan,bcf,-,-,-,-,-,-,-,-,-,-,--,--,0,0,0,0,0,0,0,0,31.7835,0,0,0,0,0,0,81.2245,95.3505,137.7285,194.2325,190.701,217.18725,273.69125,275.457,247.205,-,-,-,-
,Bahrain,bcf,-,-,-,-,-,-,-,-,-,-,75,88,93.60317096,103.8261,101.71,101.71,105.945,85.10915,87.5812,100.2946,100.64775,102.06035,95.3505,94.6442,93.58475,92.17215,87.93435,91.1127,102.4135,106.29815,100.2946,101.0009,106.29815,160.68325,162.449,180.1065,-,-,-,-
,Bangladesh,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Barbados,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Belarus,bcf,-,-,-,-,-,-,-,-,-,-,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70985,6.70985,6.70985,6.70985,6.70985,7.063,-,-,-,-
,Belgium,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Belize,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Benin,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Bermuda,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Bhutan,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Bolivia,bcf,-,-,-,-,-,-,-,-,-,-,71,79,65.786,53.33,49.44,52.62,54.3851,54.03195,59.68235,69.9237,64.2733,60.0355,78.04615,88.9938,78.75245,68.86425,39.19965,27.89885,11.37143,17.30435,7.7693,0,0,0,0,0,-,-,-,-
,Bosnia and Herzegovina,bcf,-,-,-,-,-,-,-,-,-,-,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Botswana,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Brazil,bcf,-,-,-,-,-,-,-,-,-,-,35,43.06,50.00492692,48,53.33,49.79,57.9166,60.7418,68.15795,76.2804,81.57765,107.00445,119.3647,116.18635,127.8403,105.59185,111.94855,123.24935,137.37535,153.54962,154.32655,142.6726,125.0151,137.0222,202.7081,313.24405,390.9159325,355.8606431,-,-
,British Virgin Islands,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Brunei,bcf,-,-,-,-,-,-,-,-,-,-,0,55,11,54.03195,55.8,58.98,60.38865,60.38865,58.6229,60.0355,60.0355,60.0355,61.80125,60.0355,58.26975,58.26975,7.063,10.5945,10.5945,14.126,10.5945,19.42325,19.7764,21.54215,19.42325,5.29725,-,-,-,-
,Bulgaria,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Burkina Faso,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Burundi,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Cambodia,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Cameroon,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.54215,26.48625,30.01775,31.7835,28.252,28.252,-,-,-,-
,Canada,bcf,-,-,-,-,-,-,-,-,-,-,467.57,460.19,429.75,478.801,513.97,482.19,449.595265,460.189765,455.91665,444.792425,471.1021,526.1935,440.0249,437.1997,511.07868,481.237505,547.417815,611.16139,679.001505,701.70905,731.974005,866.98325,676.458825,765.41731,902.51014,903.64022,-,-,-,-
,Cape Verde,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Cayman Islands,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Central African Republic,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Chad,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Chile,bcf,-,-,-,-,-,-,-,-,-,-,77,81,85.302,79.46,72.75,59.33,58.26975,31.0772,30.72405,55.7977,54.73825,56.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,China,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Colombia,bcf,-,-,-,-,-,-,-,-,-,-,19,18,16.10851905,19,19.78,86.88,139.49425,213.65575,254.268,317.835,282.52,282.52,282.52,264.8625,247.205,289.583,497.9415,618.0125,653.3275,750.44375,645.91135,623.30975,593.292,501.473,453.79775,395.528,-,-,-,-
,Comoros,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Congo-Brazzaville,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,1.05945,83.69655,77.33985,81.2245,77.693,74.8678,70.63,70.63,67.0985,160.68325,176.575,176.575,176.575,183.638,194.2325,227.78175,228.8412,241.90775,234.84475,222.4845,-,-,-,-
,Congo-Kinshasa,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Cook Islands,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Costa Rica,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Cote dIvoire,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Croatia,bcf,-,-,-,-,-,-,-,-,-,-,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Cuba,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Cyprus,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Czech Republic,bcf,-,-,-,-,-,-,-,-,-,-,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Denmark,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,54.39,0,0,68.5111,109.4765,117.9521,123.95565,108.7702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Djibouti,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Dominica,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Dominican Republic,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Ecuador,bcf,-,-,-,-,-,-,-,-,-,-,1,2.187230769,3,1.77,1.77,3.53,3.5315,6.00355,6.00355,6.00355,6.70985,6.70985,7.063,7.063,7.7693,7.063,7.063,6.886425,7.7693,0,0,0,0,0,0,0,-,-,-,-
,Egypt,bcf,-,-,-,-,-,-,-,-,-,-,35,36,35,35.315,35.32,35.32,33.9024,32.84295,32.4898,32.13665,28.252,24.7205,28.252,28.252,20.83585,35.315,35.315,70.63,70.63,70.63,63.567,21.189,69.2174,72.39575,67.0985,67.0985,-,-,-,-
,El Salvador,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Equatorial Guinea,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0.35315,0.35315,36.37445,35.315,3.5315,35.315,35.315,17.6575,17.6575,15.89175,15.89175,12.36025,22.95475,30.01775,28.252,21.189,-,-,-,-
,Eritrea,bcf,-,-,-,-,-,-,-,-,-,-,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Estonia,bcf,-,-,-,-,-,-,-,-,-,-,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Ethiopia,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Falkland Islands,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Faroe Islands,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Fiji,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Finland,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Former Czechoslovakia,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-
,Former Serbia and Montenegro,bcf,-,-,-,-,-,-,-,-,-,-,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,--,--,--,-,-,-,-
,Former U.S.S.R.,bcf,-,-,-,-,-,-,-,-,-,-,92,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-
,Former Yugoslavia,bcf,-,-,-,-,-,-,-,-,-,-,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-
,France,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,French Guiana,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,French Polynesia,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Gabon,bcf,-,-,-,-,-,-,-,-,-,-,19,19.14610315,21.189,21.189,21.19,21.19,21.189,21.189,21.189,21.189,21.189,19.42325,19.42325,12.7134,10.5945,10.5945,24.7205,28.252,28.252,28.252,28.252,19.42325,19.42325,22.95475,22.95475,17.6575,-,-,-,-
,"Gambia, The",bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Georgia,bcf,-,-,-,-,-,-,-,-,-,-,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Germany,bcf,-,-,-,-,-,-,-,-,-,-,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,"Germany, East",bcf,-,-,-,-,-,-,-,-,-,-,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-
,"Germany, West",bcf,-,-,-,-,-,-,-,-,-,-,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-
,Ghana,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5315,7.063,12.36025,19.42325,19.42325,22.95475,-,-,-,-
,Gibraltar,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Greece,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Greenland,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Grenada,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Guadeloupe,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Guam,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Guatemala,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Guinea,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Guinea-Bissau,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Guyana,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Haiti,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Hawaiian Trade Zone,bcf,-,-,-,-,-,-,-,-,-,-,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-,-,-,-
,Honduras,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Hong Kong,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Hungary,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Iceland,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,India,bcf,-,-,-,-,-,-,-,-,-,-,68,4,3.458523023,3.5315,3.53,3.53,3.5315,3.5315,3.5315,3.5315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Indonesia,bcf,-,-,-,-,-,-,-,-,-,-,349,402.591,411.7729,416.71,513.13,544.2,550.914,536.43485,484.87495,228.8412,256.3869,382.46145,472.16155,460.86075,431.5493,422.3674,331.961,147.26355,152.101705,154.6797,174.4561,185.40375,191.76045,156.0923,144.7915,144.7915,-,-,-,-
,Iran,bcf,-,-,-,-,-,-,-,-,-,-,640,410,692.174,769.867,801.65,912.54,1045.324,741.615,882.875,1059.45,1200.71,971.1625,932.66915,988.82,1112.4225,1077.1075,941.4979,1005.735885,968.05478,661.061485,1157.27255,1249.056235,1020.638815,1045.11211,1121.427825,1092.99925,-,-,-,-
,Iraq,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.252,42.378,49.441,31.7835,34.18492,28.569835,34.18492,30.900625,11.830525,5.29725,5.79166,-,-,-,-
,Ireland,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Israel,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Italy,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Jamaica,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Japan,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Jordan,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Kazakhstan,bcf,-,-,-,-,-,-,-,-,-,-,--,--,0,0,0,0,0,0,0,0,0,0,0,331.996315,463.791895,176.575,211.89,229.5475,268.394,370.8075,416.717,406.1225,416.717,432.60875,450.26625,476.7525,-,-,-,-
,Kenya,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Kiribati,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Kosovo,bcf,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,-,-,-,-,-
,Kuwait,bcf,-,-,-,-,-,-,-,-,-,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Kyrgyzstan,bcf,-,-,-,-,-,-,-,-,-,-,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Laos,bcf,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
,Latvia,bcf,-,-,-,-,-,-,-,-,-,-,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-
