Macrotrends Data Download,,,,,,,,https://www.macrotrends.net/2562/us-crude-oil-production-historical-chart
,,,,,,,,
U.S. Crude Oil Production - Historical Chart,,,,,,,,
,,,,,,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,,,,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,,,,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,,,,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,,,,,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,,,,,,
,,,,,,,,
,,,,,,,,
date, value,barrels / day,,,,,,
3/1/97,6409,,,,,,,
4/1/97,6465,,,,,,,
5/1/97,6439,,,,,,,
6/1/97,6357,,,,,,,
7/1/97,6337,,,,,,,
8/1/97,6400,,,,,,,
9/1/97,6396,,,,,,,
10/1/97,6400,,,,,,,
11/1/97,6416,,,,,,,
12/1/97,6462,,,,,,,
1/1/98,6377,,,,,,,
2/1/98,6368,,,,,,,
3/1/98,6405,,,,,,,
4/1/98,6397,,,,,,,
5/1/98,6346,,,,,,,
6/1/98,6269,,,,,,,
7/1/98,6340,,,,,,,
8/1/98,6346,,,,,,,
9/1/98,6396,,,,,,,
10/1/98,6417,,,,,,,
11/1/98,6401,,,,,,,
12/1/98,6437,,,,,,,
1/1/99,6363,,,,,,,
2/1/99,5911,,,,,,,
3/1/99,5864,,,,,,,
4/1/99,5877,,,,,,,
5/1/99,5845,,,,,,,
6/1/99,5884,,,,,,,
7/1/99,5898,,,,,,,
8/1/99,5994,,,,,,,
9/1/99,5973,,,,,,,
10/1/99,6111,,,,,,,
11/1/99,6006,,,,,,,
12/1/99,6043,,,,,,,
1/1/00,5988,,,,,,,
2/1/00,6007,,,,,,,
3/1/00,5873,,,,,,,
4/1/00,5838,,,,,,,
5/1/00,5784,,,,,,,
6/1/00,5732,,,,,,,
7/1/00,5764,,,,,,,
8/1/00,5782,,,,,,,
9/1/00,5862,,,,,,,
10/1/00,5894,,,,,,,
11/1/00,5883,,,,,,,
12/1/00,5903,,,,,,,
1/1/01,5935,,,,,,,
2/1/01,5875,,,,,,,
3/1/01,5883,,,,,,,
4/1/01,5884,,,,,,,
5/1/01,5819,,,,,,,
6/1/01,5756,,,,,,,
7/1/01,5705,,,,,,,
8/1/01,5751,,,,,,,
9/1/01,5735,,,,,,,
10/1/01,5879,,,,,,,
11/1/01,5873,,,,,,,
12/1/01,5902,,,,,,,
1/1/02,5909,,,,,,,
2/1/02,5956,,,,,,,
3/1/02,5956,,,,,,,
4/1/02,5865,,,,,,,
5/1/02,5896,,,,,,,
6/1/02,5917,,,,,,,
7/1/02,5844,,,,,,,
8/1/02,5883,,,,,,,
9/1/02,5190,,,,,,,
10/1/02,5714,,,,,,,
11/1/02,5740,,,,,,,
12/1/02,5749,,,,,,,
1/1/03,5764,,,,,,,
2/1/03,5901,,,,,,,
3/1/03,5906,,,,,,,
4/1/03,5766,,,,,,,
5/1/03,5837,,,,,,,
6/1/03,5867,,,,,,,
7/1/03,5699,,,,,,,
8/1/03,5723,,,,,,,
9/1/03,5734,,,,,,,
10/1/03,5550,,,,,,,
11/1/03,5709,,,,,,,
12/1/03,5658,,,,,,,
1/1/04,5710,,,,,,,
2/1/04,5661,,,,,,,
3/1/04,5658,,,,,,,
4/1/04,5624,,,,,,,
5/1/04,5460,,,,,,,
6/1/04,5394,,,,,,,
7/1/04,5367,,,,,,,
8/1/04,5401,,,,,,,
9/1/04,4946,,,,,,,
10/1/04,5176,,,,,,,
11/1/04,5408,,,,,,,
12/1/04,5430,,,,,,,
1/1/05,5437,,,,,,,
2/1/05,5492,,,,,,,
3/1/05,5496,,,,,,,
4/1/05,5423,,,,,,,
5/1/05,5537,,,,,,,
6/1/05,5359,,,,,,,
7/1/05,5149,,,,,,,
8/1/05,5427,,,,,,,
9/1/05,3813,,,,,,,
10/1/05,4068,,,,,,,
11/1/05,4765,,,,,,,
12/1/05,4864,,,,,,,
1/1/06,4862,,,,,,,
2/1/06,4985,,,,,,,
3/1/06,5024,,,,,,,
4/1/06,5122,,,,,,,
5/1/06,5088,,,,,,,
6/1/06,5129,,,,,,,
7/1/06,4940,,,,,,,
8/1/06,5099,,,,,,,
9/1/06,5151,,,,,,,
10/1/06,5307,,,,,,,
11/1/06,5030,,,,,,,
12/1/06,5369,,,,,,,
1/1/07,5224,,,,,,,
2/1/07,5285,,,,,,,
3/1/07,5243,,,,,,,
4/1/07,5089,,,,,,,
5/1/07,5148,,,,,,,
6/1/07,5122,,,,,,,
7/1/07,5206,,,,,,,
8/1/07,5021,,,,,,,
9/1/07,5064,,,,,,,
10/1/07,5114,,,,,,,
11/1/07,5133,,,,,,,
12/1/07,5078,,,,,,,
1/1/08,4998,,,,,,,
2/1/08,5050,,,,,,,
3/1/08,5087,,,,,,,
4/1/08,5098,,,,,,,
5/1/08,5139,,,,,,,
6/1/08,5123,,,,,,,
7/1/08,5160,,,,,,,
8/1/08,5097,,,,,,,
9/1/08,3839,,,,,,,
10/1/08,4776,,,,,,,
11/1/08,5118,,,,,,,
12/1/08,4979,,,,,,,
1/1/09,5235,,,,,,,
2/1/09,5373,,,,,,,
3/1/09,5480,,,,,,,
4/1/09,5269,,,,,,,
5/1/09,5358,,,,,,,
6/1/09,5163,,,,,,,
7/1/09,5246,,,,,,,
8/1/09,5244,,,,,,,
9/1/09,5375,,,,,,,
10/1/09,5391,,,,,,,
11/1/09,5561,,,,,,,
12/1/09,5512,,,,,,,
1/1/10,5403,,,,,,,
2/1/10,5510,,,,,,,
3/1/10,5489,,,,,,,
4/1/10,5522,,,,,,,
5/1/10,5320,,,,,,,
6/1/10,5257,,,,,,,
7/1/10,5440,,,,,,,
8/1/10,5602,,,,,,,
9/1/10,5562,,,,,,,
10/1/10,5593,,,,,,,
11/1/10,5555,,,,,,,
12/1/10,5598,,,,,,,
1/1/11,5568,,,,,,,
2/1/11,5591,,,,,,,
3/1/11,5568,,,,,,,
4/1/11,5623,,,,,,,
5/1/11,5609,,,,,,,
6/1/11,5593,,,,,,,
7/1/11,5523,,,,,,,
8/1/11,5598,,,,,,,
9/1/11,5800,,,,,,,
10/1/11,5818,,,,,,,
11/1/11,5864,,,,,,,
12/1/11,5851,,,,,,,
1/1/12,5720,,,,,,,
2/1/12,5814,,,,,,,
3/1/12,6049,,,,,,,
4/1/12,6121,,,,,,,
5/1/12,6227,,,,,,,
6/1/12,6094,,,,,,,
7/1/12,6320,,,,,,,
8/1/12,5486,,,,,,,
9/1/12,6520,,,,,,,
10/1/12,6669,,,,,,,
11/1/12,6817,,,,,,,
12/1/12,6985,,,,,,,
1/1/13,6993,,,,,,,
2/1/13,7096,,,,,,,
3/1/13,7151,,,,,,,
4/1/13,7312,,,,,,,
5/1/13,7300,,,,,,,
6/1/13,7267,,,,,,,
7/1/13,7542,,,,,,,
8/1/13,7621,,,,,,,
9/1/13,7784,,,,,,,
10/1/13,7853,,,,,,,
11/1/13,8011,,,,,,,
12/1/13,8121,,,,,,,
1/1/14,8044,,,,,,,
2/1/14,8077,,,,,,,
3/1/14,8192,,,,,,,
4/1/14,8352,,,,,,,
5/1/14,8383,,,,,,,
6/1/14,8442,,,,,,,
7/1/14,8443,,,,,,,
8/1/14,8630,,,,,,,
9/1/14,8837,,,,,,,
