,Primary Energy,Consumption,Consumption,Africa,Asia & Oceania,Central & South America,Eurasia,Europe,Middle East,North America,World,Natural Gas,Africa,Asia & Oceania,Central & South America,Eurasia,Europe,Middle East,North America,World
,quad Btu,,,quad Btu,quad Btu,quad Btu,quad Btu,quad Btu,quad Btu,quad Btu,quad Btu,,quad Btu,quad Btu,quad Btu,quad Btu,quad Btu,quad Btu,quad Btu,quad Btu
2005,,,,14.90877326,154.2245891,23.52273785,43.09049101,86.10188654,23.49446858,121.5975142,466.9404605,,3.300960049,14.36588992,4.470181985,21.80001144,20.55400363,10.32339416,27.7924645,102.6069057
2006,,,,15.18334463,165.0781592,24.4956715,44.66242921,86.66783284,24.57742336,121.4481092,482.1129699,,3.479718711,16.05854374,4.847823742,22.69064621,20.57085802,10.78014848,27.88438426,106.3121232
2007,,,,15.69936859,174.7649215,25.14516083,45.025288,86.00072003,25.49688547,123.3527084,495.4850528,,3.5204664,17.63743176,4.687183558,23.09467873,20.41681503,11.22643095,29.13793395,109.7209404
2008,,,,16.37208733,179.0216372,26.09400923,46.26269967,86.01149211,27.32303212,121.1590711,502.2440288,,3.77408561,18.29534251,4.921135406,23.43263159,20.9283705,12.26035026,29.26084886,112.8727647
2009,,,,16.37032777,187.3894126,25.65045234,40.89288665,81.3851802,28.9107352,116.2098064,496.8088012,,3.560169,19.26074895,4.624883729,19.63811532,19.69281148,13.14471564,29.22786957,109.1493137
2010,,,,17.17339584,201.4926799,27.16776272,45.31060909,84.63059454,30.18462713,120.3409867,526.3006559,,3.749137552,21.61504763,5.152788127,23.11556335,21.28843016,14.02636081,30.47655173,119.4238794
2011,,,,17.58448549,214.8563715,28.01718055,47.59735381,82.36706748,31.15943411,120.3697484,541.9516414,,4.470521683,23.11295968,5.334485647,24.4016569,19.73684629,14.88686886,31.04914752,122.9924866
2012,,,,18.38931418,226.4447072,28.87497055,47.38925541,81.82877465,33.05846668,118.0552811,554.0407698,,4.763066199,24.26366755,5.695193277,23.90096671,19.15410474,15.56207923,32.46357032,125.802648
2013,,,,18.65029158,233.6555256,29.32302412,46.50268828,81.46820398,33.88544165,121.4396246,564.9247998,,4.749412184,25.00491445,6.005233819,23.32346997,18.90155268,16.12960485,33.54048777,127.6546757
2014,,,,19.41062092,239.5854359,30.53245609,44.01209466,78.86308889,35.25164087,123.0627191,570.7180564,,4.893730569,25.76901929,6.11738501,23.10191634,17.2022839,16.85204881,34.20874125,128.1451252
2015,,,,19.54954288,242.4534389,30.4428104,43.22638349,79.91778855,36.33516223,122.3031596,574.228286,,4.924789178,25.85667053,6.238739844,22.2712593,17.7801736,17.80120088,35.17885985,130.0516932
2016,,,,19.96315951,248.3187188,29.8645624,42.92396582,81.13699629,36.45966424,122.4119846,581.0790517,,5.052221141,27.13441063,5.939886569,21.96347957,18.81501351,18.47805826,35.31615968,132.6992294
