International_data,,,,,,,,,,,,,,,
https://www.eia.gov/beta/international/data/browser/#/?pa=0000000000000000000000000000000000vg&f=M&c=4100000002000060000000000000g000200000000000000001&tl_id=5-M&vs=INTL.53-1-AFRC-TBPD.M&cy=201806&vo=0&v=H&start=201712&end=201812,,,,,,,,,,,,,,,
Fri Nov 22 2019 16:29:45 GMT-0600 (Central Standard Time),,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,
,,,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
,Petroleum and Other Liquids (monthly),Mb/d,,,,,,,,,,,,,
,Production,,,,,,,,,,,,,,
,Total Petroleum and Other Liquids,,,,,,,,,,,,,,
,Total Petroleum and Other Liquids,,,,,,,,,,,,,,
,Middle East,Mb/d,240.517,240.517,240.517,240.517,240.517,240.517,240.517,240.517,240.517,240.517,240.517,240.517,240.517
,North America,Mb/d,1502.065,1475.742,1438.607,1494.29,1460.633,1466.387,1523.433,1506.935,1545.419,1476.8,1455.968,1500.167,1522
,World,Mb/d,3552.207,3455.884,3405.749,3557.432,3972.775,4189.529,4449.575,4511.077,4419.561,4316.942,4076.11,3958.309,3711.142
,Refinery Processing Gain,,,,,,,,,,,,,,
,Africa,Mb/d,22.918,22.918,22.918,22.918,22.918,22.918,22.918,22.918,22.918,22.918,22.918,22.918,22.918
,Asia & Oceania,Mb/d,846.475,846.475,846.475,846.475,846.475,846.475,846.475,846.475,846.475,846.475,846.475,846.475,846.475
,Central & South America,Mb/d,112.919,112.919,112.919,112.919,112.919,112.919,112.919,112.919,112.919,112.919,112.919,112.919,112.919
,Eurasia,Mb/d,56.777,56.777,56.777,56.777,56.777,56.777,56.777,56.777,56.777,56.777,56.777,56.777,56.777
,Europe,Mb/d,363.906,363.906,363.906,363.906,363.906,363.906,363.906,363.906,363.906,363.906,363.906,363.906,363.906
,Middle East,Mb/d,52.18,52.18,52.18,52.18,52.18,52.18,52.18,52.18,52.18,52.18,52.18,52.18,52.18
,North America,Mb/d,1225.966,1206.062,1200.143,1199.385,1216.91,1245.062,1236.543,1272.546,1289.127,1244.51,1219.224,1253.076,1313.998
,World,Mb/d,2681.141,2661.237,2655.318,2654.56,2672.085,2700.237,2691.718,2727.721,2744.302,2699.685,2674.399,2708.251,2769.173
