Date,International Petrol Consumption,International Petrol Production
Mar-95,195.2713454,206858.4
Apr-95,195.7109596,209565.4
May-95,195.25928290000002,209516.1
Jun-95,193.4139535,206363.1
Jul-95,195.1868045,209505.3
Aug-95,196.6872572,209913.3
Sep-95,197.97639669999998,211323.3
Oct-95,196.4864138,210132.3
Nov-95,198.9366212,210997.3
Dec-95,200.65458519999999,212051.3
Jan-96,199.05211450000002,212359.9
Feb-96,200.9198372,213249.2
Mar-96,200.05134280000001,213469.9
Apr-96,198.27349809999998,213076.9
May-96,197.3337681,212859.9
Jun-96,198.1092504,213680.4
Jul-96,199.3735247,214222.4
Aug-96,198.53977980000002,212922.4
Sep-96,199.0780968,214359.4
Oct-96,201.937938,215841.4
Nov-96,203.0694577,217401.4
Dec-96,204.98429280000002,219176.4
Jan-97,204.65683330000002,218787.1
Feb-97,205.866346,220302.8
Mar-97,204.33003730000001,220284.1
Apr-97,205.7141833,221629.3
May-97,202.99724709999998,219633.9
Jun-97,201.80581669999998,217242.1
Jul-97,203.97373090000002,218758.0
Aug-97,205.05009640000003,221470.0
Sep-97,206.9708101,222810.2
Oct-97,208.77161030000002,224340.5
Nov-97,207.8785126,223869.5
Dec-97,209.32623569999998,223523.2
Jan-98,210.49602480000001,227834.6
Feb-98,212.15933059999998,229067.6
Mar-98,211.5815074,228471.6
Apr-98,210.2309732,228120.3
May-98,207.40622580000002,226215.4
Jun-98,208.19718909999997,225317.3
Jul-98,207.70627199999998,223961.3
Aug-98,205.3320502,221755.0
Sep-98,205.55855209999999,221862.3
Oct-98,206.0576462,222381.3
Nov-98,208.79843540000002,225263.3
Dec-98,209.5613878,224358.6
Jan-99,208.73310940000002,225271.8
Feb-99,211.19967069999998,226593.9
Mar-99,210.4874301,225470.8
Apr-99,204.7370429,221116.8
May-99,203.03822759999997,220637.8
Jun-99,202.1832803,217414.4
Jul-99,206.201618,222294.7
Aug-99,206.2292605,222037.7
Sep-99,206.641256,222350.9
Oct-99,208.01899840000002,224104.9
Nov-99,208.4209857,224135.9
Dec-99,208.7451023,222033.5
Jan-00,201.7571339,225223.5662
Feb-00,204.97545209999998,227008.1713
Mar-00,204.39102219999998,227074.6436
Apr-00,204.0203565,228984.65600000002
May-00,205.71414130000002,230598.3748
Jun-00,205.60951830000002,229817.9214
Jul-00,206.6951311,231551.2157
Aug-00,210.1323085,234224.8654
Sep-00,209.9710704,234748.2827
Oct-00,210.52263419999997,235905.5405
Nov-00,212.37351329999998,237902.9869
Dec-00,210.1000313,232997.8084
Jan-01,209.59360049999998,233137.687
Feb-01,209.14282319999998,232767.2774
Mar-01,210.53753880000002,235035.6609
Apr-01,207.00899990000002,231940.6818
May-01,205.27364219999998,230059.4457
Jun-01,201.8231252,225375.7165
Jul-01,206.9882215,231313.7115
Aug-01,207.7970116,231837.5533
Sep-01,205.87693190000002,230517.0577
Oct-01,206.1352042,230429.0111
Nov-01,207.7966225,231950.21600000001
Dec-01,206.21059430000003,229803.4805
Jan-02,205.0508054,228186.7518
Feb-02,205.6236875,228555.6535
Mar-02,204.62735869999997,227922.8277
Apr-02,202.7494107,226480.7685
May-02,203.5625275,228396.2898
Jun-02,203.42273319999998,227470.5743
Jul-02,205.3160351,228776.5039
Aug-02,204.7046101,228267.4872
Sep-02,205.81218069999997,229963.8105
Oct-02,209.46859990000002,234348.9201
Nov-02,210.9443891,235145.2837
Dec-02,206.9208599,229276.4052
Jan-03,206.4857754,230655.4511
Feb-03,211.8470906,236053.0348
Mar-03,211.29477369999998,237432.7398
