Date,International Petrol Consumption
Jul-95,195.1868045
Aug-95,196.6872572
Sep-95,197.9763967
Oct-95,196.4864138
Nov-95,198.9366212
Dec-95,200.6545852
Jan-96,199.0521145
Feb-96,200.9198372
Mar-96,200.0513428
Apr-96,198.2734981
May-96,197.3337681
Jun-96,198.1092504
Jul-96,199.3735247
Aug-96,198.5397798
Sep-96,199.0780968
Oct-96,201.937938
Nov-96,203.0694577
Dec-96,204.9842928
Jan-97,204.6568333
Feb-97,205.866346
Mar-97,204.3300373
Apr-97,205.7141833
May-97,202.9972471
Jun-97,201.8058167
Jul-97,203.9737309
Aug-97,205.0500964
Sep-97,206.9708101
Oct-97,208.7716103
Nov-97,207.8785126
Dec-97,209.3262357
Jan-98,210.4960248
Feb-98,212.1593306
Mar-98,211.5815074
Apr-98,210.2309732
May-98,207.4062258
Jun-98,208.1971891
Jul-98,207.706272
Aug-98,205.3320502
Sep-98,205.5585521
Oct-98,206.0576462
Nov-98,208.7984354
Dec-98,209.5613878
Jan-99,208.7331094
Feb-99,211.1996707
Mar-99,210.4874301
Apr-99,204.7370429
May-99,203.0382276
Jun-99,202.1832803
Jul-99,206.201618
Aug-99,206.2292605
Sep-99,206.641256
Oct-99,208.0189984
Nov-99,208.4209857
Dec-99,208.7451023
Jan-00,201.7571339
Feb-00,204.9754521
Mar-00,204.3910222
Apr-00,204.0203565
May-00,205.7141413
Jun-00,205.6095183
Jul-00,206.6951311
Aug-00,210.1323085
Sep-00,209.9710704
Oct-00,210.5226342
Nov-00,212.3735133
Dec-00,210.1000313
Jan-01,209.5936005
Feb-01,209.1428232
Mar-01,210.5375388
Apr-01,207.0089999
May-01,205.2736422
Jun-01,201.8231252
Jul-01,206.9882215
Aug-01,207.7970116
Sep-01,205.8769319
Oct-01,206.1352042
Nov-01,207.7966225
Dec-01,206.2105943
Jan-02,205.0508054
Feb-02,205.6236875
Mar-02,204.6273587
Apr-02,202.7494107
May-02,203.5625275
Jun-02,203.4227332
Jul-02,205.3160351
Aug-02,204.7046101
Sep-02,205.8121807
Oct-02,209.4685999
Nov-02,210.9443891
Dec-02,206.9208599
Jan-03,206.4857754
Feb-03,211.8470906
Mar-03,211.2947737
Apr-03,207.993829
May-03,207.2807651
Jun-03,206.1205515
Jul-03,208.2739864
Aug-03,209.4302893
Sep-03,211.5920274
Oct-03,214.4805037
Nov-03,214.8847631
Dec-03,219.5626922
Jan-04,218.4421234
Feb-04,219.1023222
Mar-04,218.5847031
Apr-04,217.2722003
May-04,215.1454038
Jun-04,220.0822562
Jul-04,221.8186743
Aug-04,219.3472096
Sep-04,220.6296964
Oct-04,222.8343832
Nov-04,222.6476219
Dec-04,223.0051914
Jan-05,223.0249669
Feb-05,224.7568187
Mar-05,224.8777738
Apr-05,223.8953344
May-05,224.3940463
Jun-05,224.2901178
Jul-05,223.2251174
Aug-05,224.66276
Sep-05,222.0661056
Oct-05,221.4114732
Nov-05,224.6424008
Dec-05,225.3467407
Jan-06,222.9824192
Feb-06,223.6137822
Mar-06,222.4900254
Apr-06,221.3996718
May-06,220.9064097
Jun-06,221.7254977
Jul-06,224.598557
Aug-06,224.6080025
Sep-06,222.9276069
Oct-06,223.7375102
Nov-06,223.0980621
Dec-06,222.7685315
Jan-07,221.4790608
Feb-07,223.2383927
Mar-07,222.0979297
Apr-07,222.2849267
May-07,221.2040447
Jun-07,221.4581186
Jul-07,222.6414078
Aug-07,221.0859646
Sep-07,222.7398878
Oct-07,224.8782622
Nov-07,224.7047015
Dec-07,225.8837615
Jan-08,225.4928237
Feb-08,226.1393275
Mar-08,225.3560309
Apr-08,224.336442
May-08,225.1663574
Jun-08,224.9910679
Jul-08,227.5009189
Aug-08,224.5943942
Sep-08,220.590044
Oct-08,225.542826
Nov-08,224.2654377
Dec-08,222.0274421
Jan-09,219.0932634
Feb-09,220.7040225
Mar-09,220.0908647
Apr-09,220.2677913
May-09,219.0918163
Jun-09,220.6690542
Jul-09,222.4730928
Aug-09,221.5674772
Sep-09,222.7932781
Oct-09,224.1506634
Nov-09,224.2964265
Dec-09,224.2412753
Jan-10,224.0408853
Feb-10,226.3347858
Mar-10,227.0281908
Apr-10,227.1236888
May-10,227.359486
Jun-10,228.6603962
Jul-10,229.1646381
Aug-10,229.424446
Sep-10,230.0522282
Oct-10,228.5876134
Nov-10,230.217114
Dec-10,230.6850673
Jan-11,231.2585021
Feb-11,229.1889013
Mar-11,226.8218277
Apr-11,225.3215608
May-11,224.5804655
Jun-11,227.6799672
Jul-11,228.6456379
Aug-11,230.7397541
Sep-11,228.6537557
Oct-11,229.3592718
Nov-11,231.9470407
Dec-11,233.0618329
Jan-12,232.5055074
Feb-12,234.932451
Mar-12,232.9857075
Apr-12,233.2558265
May-12,232.7385409
Jun-12,232.3117995
Jul-12,233.35301
Aug-12,234.0642156
Sep-12,231.571455
Oct-12,233.8143343
Nov-12,235.137256
Dec-12,234.2289197
Jan-13,232.5304528
Feb-13,232.3973233
Mar-13,232.0545237
Apr-13,234.1753229
May-13,234.1813238
Jun-13,234.0629165
Jul-13,236.8767339
Aug-13,236.233984
Sep-13,234.6761415
Oct-13,235.4276468
Nov-13,236.6910824
Dec-13,236.5139746
Jan-14,236.6659153
Feb-14,238.3383787
Mar-14,236.2695398
Apr-14,236.4414598
May-14,236.9388249
Jun-14,239.2204015
Jul-14,240.3387599
Aug-14,241.1111865
Sep-14,242.4534003
Oct-14,245.5322758
Nov-14,243.9405308
Dec-14,246.7002192
Jan-15,243.3503314
Feb-15,244.4098506
Mar-15,245.711946
Apr-15,245.5955051
May-15,245.2905901
Jun-15,247.538215
Jul-15,249.2565525
Aug-15,249.0139324
Sep-15,248.2936402
Oct-15,248.5313159
Nov-15,248.9173613
Dec-15,249.8563939
Jan-16,248.4758169
Feb-16,247.8053777
Mar-16,247.657939
Apr-16,246.2832611
May-16,244.6708166
Jun-16,246.3280891
Jul-16,248.8776148
Aug-16,247.3604413
Sep-16,247.2070672
Oct-16,249.6982911
Nov-16,252.7518249
Dec-16,250.9617317
Jan-17,247.4344218
Feb-17,248.2422521
Mar-17,247.2464026
Apr-17,245.6844148
May-17,248.3178852
Jun-17,250.5086374
Jul-17,251.9220118
Aug-17,250.381458
Sep-17,250.3375964
Oct-17,251.4193427
Nov-17,253.6394221
Dec-17,252.0103486
Jan-18,252.6746196
Feb-18,253.5288641
Mar-18,253.709623
Apr-18,253.0586552
May-18,252.9854157
Jun-18,255.2730707
Jul-18,257.3541451
Aug-18,258.9318601
Sep-18,258.0021198
Oct-18,260.4452673
Nov-18,260.7747422
Dec-18,258.8960745
Jan-19,255.8104852
Feb-19,255.468112
Mar-19,254.5233025
Apr-19,254.8141601
May-19,253.8346124
Jun-19,255.3240214
Jul-19,254.6004406
