Year,Country,Latitude,Longitude,,1982
1982,Taiwan_Offshore,22.143055,120.035738,,4
1982,Thailand_Land,15.8700,100.9925,,36
1982,Thailand_Offshore,12.269503,100.804317,,60
1982,Vietnam_Land,14.0583,108.2772,,0
1982,Vietnam_Offshore,11.868672,109.874274,,0
,,,,,
1983,US_Land,37.0902,-95.7129,,
1983,US_Offshore,28.126707,-91.305831,,
1983,Canada_land,56.1304,-106.3468,,
1983,Canada_Offshore,47.355629,-51.61464,,
1983,Austria_Land,47.5162,14.5501,,106
1983,Austria_Offshore,47.5162,14.5501,,0
1983,Denmark_Land,56.2639,9.5018,,10
1983,Denmark_Offshore,56.419044,7.243998,,44
1983,France_Land,46.2276,2.2137,,198
1983,France_Offshore,46.658824,-3.518222,,8
1983,Germany_Land,51.1657,10.4515,,305
1983,Germany_Offshore,54.255762,7.408047,,0
1983,Greece_Land,39.0742,21.8243,,24
1983,Greece_Offshore,39.495183,23.367596,,14
1983,Netherlands_Land,52.1326,5.2913,,79
1983,Netherlands_Offshore,52.669133,4.194947,,119
1983,Hungary_Land,47.1625,19.5033,,0
1983,Hungary_Offshore,,,,0
1983,Italy_Land,41.8719,12.5674,,233
1983,Italy_Offshore,41.727206,10.896804,,80
1983,Norway_Land,60.4720,8.4689,,0
1983,Norway_Offshore,60.010363,3.58667,,114
1983,Poland_Land,51.9194,19.1451,,0
1983,Poland_Offshore,55.155538,17.566921,,0
1983,Romania_Land,45.9432,24.9668,,0
1983,Romania__Offshore,,,,0
1983,Spain_Land,40.4637,-3.7492,,53
1983,Spain_Offshore,39.467705,0.812242,,40
1983,Turkey_Land,38.9637,35.2433,,310
1983,Turkey_Offshore,42.573404,34.154628,,0
1983,U.K._Land,55.3781,-3.4360,,25
1983,U.K._Offshore,57.479149,-0.12889,,482
1983,Yugoslavia/Croatia_Land,45.1000,15.2000,,236
1983,Yugoslavia/Croatia_Offshore,43.165008,15.806668,,12
1983,Abu Dhabi_Land,24.4539,54.3773,,141
1983,Abu Dhabi_Offshore,24.756606,54.280173,,279
1983,Dubai_Land,25.2048,55.2708,,31
1983,Dubai_Offshore,25.452626,55.17867,,49
1983,Egypt_Land,26.8206,30.8025,,190
1983,Egypt_Offshore,31.951179,30.916615,,230
1983,Iran_Land,32.4279,53.6880,,140
1983,Iran_Offshore,26.986451,52.797098,,18
1983,Iraq_Land,33.2232,43.6793,,272
1983,Iraq_Offshore,29.826924,48.713334,,0
1983,Jordan_Land,30.5852,36.2384,,30
1983,Jordan_Offshore,,,,0
1983,Kuwait_Land,29.3117,47.4818,,54
1983,Kuwait_Offshore,29.153707,48.492063,,3
1983,Oman_Land,21.4735,55.9754,,124
1983,Oman_Offshore,19.472099,59.077725,,4
