,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Egypt,14,16,16,16,17,14,11,7,6,9,7,5,7,8,10,13,14,9,12,14,17,19,19,22,29,35,45,37,44,56,55,44,45,36,21,20,22,22
Egypt_Offshore,22,19,21,21,16,9,10,11,9,8,9,8,7,10,9,9,8,8,6,8,6,8,9,7,7,11,10,9,11,11,12,9,8,6,8,4,4,4
Iran*,2,11,18,18,16,17,18,20,19,20,37,42,20,20,18,20,23,25,24,24,25,28,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iran*_Offshore,1,1,2,2,2,0,0,0,0,1,3,3,2,1,2,2,2,2,3,6,8,7,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq*,11,23,19,28,21,10,23,25,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,83,79,52,43,49,59,73
Iraq*_Offshore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan,0,2,3,2,2,2,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0
Jordan_Offshore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait*,4,5,5,6,6,6,6,4,2,1,4,9,9,7,5,6,8,11,12,9,6,5,10,12,14,12,12,13,20,32,31,32,38,47,44,54,51,45
Kuwait*_Offshore,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,11,10,11,13,13,10,9,13,17,14,12,16,16,17,19,23,24,19,24,25,29,35,35,34,38,48,54,49,44,43,50,49,59,67,66,55,53,53
Oman_Offshore,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Pakistan,16,17,17,18,17,14,13,14,11,10,11,9,10,11,11,12,11,7,9,9,12,13,11,12,17,19,22,20,17,14,15,21,21,22,24,22,24,22
Pakistan_Offshore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
